disc,link,state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,Notes,UGrad Concentrations
"Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Geographic Education Geographic Thought GIS GIS Certificate Program Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.albany.edu/geographyplanning,NY,"University at Albany, State University of New York",,Department of Geography and Planning,College of Arts and Sciences,x,,,,,x,,x,,,,,,,
"Applied Geography Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Development GIS GIS Certificate Program Hazards Medical Geography Planning (Regional/Urban) Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",https://www.binghamton.edu/geography/,NY,"Binghamton University, State University of New York",,Department of Geography,Harpur College of Arts and Sciences,x,x,,,,x,,x,,,,,,,
Applied Geography Cartography GIS GIS Certificate Program Physical Geography/General Remote Sensing Water Resources,https://www.westpoint.edu/academics/academic-departments/geography-and-environmental-engineering,NY,United States Military Academy,,Department of Geography and Environmental Engineering,,x,,,,x,,,,,,,,,,
"Applied Geography Biogeography Cartography Conservation, Land Use, Resource Management Geomorphology GIS GIS Certificate Program Hazards Historical Geography Medical Geography Planning (Regional/Urban) Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",http://lehman.smartcatalogiq.com/2019-2021/Undergraduate-Bulletin/Academic-Departments-and-Programs/Earth-Environmental-and-Geospatial-Sciences/Geography-B-A-28-Credit-Major,NY,"Lehman College, City University of New York",,"Department of Earth, Environmental and Geospatial Sciences",School of Natural and Social Sciences,,,,,,x,,,,,,,,,
Cartography Cultural Geography Environmental Studies Geographic Education GIS GIS Certificate Program Physical Geography/General Population Geography Quantitative Methods Remote Sensing Social Geography Urban Geography,http://www.geo.hunter.cuny.edu/,NY,"Hunter College, CUNY",,Department of Geography and Environmental Science,School of Arts and Sciences,x,,,,,x,,x,,,,,,,
,https://csicuny.smartcatalogiq.com/en/Current/Undergraduate-Catalog/Divisions-Schools-Departments-and-Programs/Division-of-Humanities-and-Social-Sciences/Department-of-Political-Science-and-Global-Affairs/Geography/Geography-BA,NY,"College of Staten Island, CUNY",,Department of Political Science and Global Affairs,Division of Humanities and Social Sciences,,,,,,x,,,,,,,,,
Cartography Cultural Geography Economic Geography GIS Medical Geography Political Geography Population Geography Transportation and Communication Urban Geography,https://www.hofstra.edu/global-studies-geography/geography-major-ba.html,NY,Hofstra University,,Department of Global Studies and Geography,Hofstra College of Liberal Arts and Sciences, x,,,,,x,,,,,,,,"Peter S. Kalikow School of Government, Public Policy and International Affairs",
Applied Geography Cultural Geography Geomorphology GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Remote Sensing,https://geography.ecu.edu/home/degree-programs/,NC,East Carolina University,,"Department of Geography, Planning and Environment",Thomas Harriot College of Arts and Sciences,x,,,,x,,x,,,,,,,,
,https://www.nccu.edu/chs/environmental-earth-and-geospatial-sciences#undergraduate-programs,NC,North Carolina Central University,,"Department of Environmental, Earth and Geospatial Sciences",College of Health and Sciences,,,,,x,,,,,,x,,,BS Environmental and Geographic Sciences,
"Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Medical Geography Physical Geography/General Political Ecology Political Geography Population Geography Quantitative Methods Remote Sensing Social Geography Urban Geography",https://geography.unc.edu/,NC,University of North Carolina at Chapel Hill,,Department of Geography,College of Arts and Sciences,x,x,,,,x,,x,x,,,,,,
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Distance/Online Degree Program Economic Geography Energy Environmental Studies Geomorphology GIS GIS Certificate Program Planning (Regional/Urban) Political Geography Quantitative Methods Recreation and Tourism Remote Sensing Transportation and Communication Urban Geography Water Resources",https://ges.uncg.edu/,NC,University of North Carolina at Greensboro,,"Department of Geography, Environment, and Sustainability",College of Arts and Sciences,x,,,,x,x,,x,x,,,,,,
,https://geo.appstate.edu/,NC,Appalachian State University,,Department of Geography and Planning,College of Arts and Sciences,x,,,,x,x,,x,,,,,,,
Applied Geography Climatology/Meteorology Economic Geography Environmental Studies Geomorphology GIS Certificate Program Medical Geography Physical Geography/General Planning (Regional/Urban) Quantitative Methods Urban Geography Water Resources,https://geoearth.uncc.edu/undergraduate-programs/geography,NC,University of North Carolina at Charlotte,,Department of Geography and Earth Sciences,College of Liberal Arts and Sciences,x,,,,x,x,,x,x,,,,,,
"Applied Geography Biogeography Conservation, Land Use, Resource Management Economic Geography Environmental Studies Geographic Education Geomorphology GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Remote Sensing Water Resources",https://arts-sciences.und.edu/academics/geography/,ND,University of North Dakota,,Department of Geography and Geographic Information Science,College of Arts and Sciences,x,,,,x,,,x,,,,,,,
"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Environmental Studies Geographic Thought GIS Hazards Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Remote Sensing Urban Geography",https://www.kent.edu/geography,OH,Kent State University,,Department of Geography,College of Arts and Sciences,x,x,,,,x,,x,x,,,,,,
"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Regional Development Social Geography Urban Geography",https://www.ohio.edu/cas/geography/graduate/masters-ms,OH,Ohio University,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,x,,,,,,,
"Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Economic Development Economic Geography Energy Environmental Studies Gender Geographic Thought GIS GIS Certificate Program Medical Geography Physical Geography/General Political Ecology Political Geography Population Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography",https://geography.osu.edu/,OH,Ohio State University,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,,x,x,,,,,,
Cartography Climatology/Meteorology Cultural Geography Economic Geography Energy Environmental Studies GIS Hazards Physical Geography/General Urban Geography,https://www.owu.edu/academics/departments-programs/department-of-environment-sustainability/geography-major/,OH,Ohio Wesleyan University,,Department of Environment and Sustainability,,,,,,,x,,,,,,,,,
,https://www.sinclair.edu/academics/divisions/lcs/geo/,OH,Sinclair College,Geography,,"Division of Liberal Arts, Communication and Social Sciences",,,x,,,,,,,,,,,,
"Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",http://www.miamioh.edu/cas/academics/departments/geography/academics/,OH,Miami University of Ohio,,Department of Geography,College of Arts and Science,x,x,,,,x,,x,,,,,,,
"Biogeography Conservation, Land Use, Resource Management Cultural Ecology Economic Development Economic Geography Environmental Studies Geomorphology GIS GIS Certificate Program Location Theory Medical Geography Physical Geography/General Quantitative Methods Regional Development Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.artsci.uc.edu/departments/geography/about-the-department.html,OH,University of Cincinnati,,Department of Geography and GIS,College of Arts and Sciences,x,,,,x,x,,x,x,,,,,,
Cultural Geography GIS Physical Geography/General,https://www.owens.edu/academics/program/geography-concentration.html,OH,Owens Community College,,Department of Social and Behavioral Sciences,School of Liberal Arts,,,x,,,,,,,,,,,,
"Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geographic Education Geographic Thought GIS GIS Certificate Program Hazards Historical Geography Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Regional Development Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.utoledo.edu/Programs/undergrad/Geography-and-Planning,OH,University of Toledo,,Department of Geography and Planning,College of Arts and Letters,x,,,,,x,,x,x,,,,,,
"Biogeography, Climatology/Meteorology, Cultural Ecology, Cultural Geography, Distance/Online Degree Program, Environmental Studies, GIS, GIS Certificate Program, Hazards, Physical Geography (General), Political Ecology, Urban Geography, Water Resources",https://academics.nsuok.edu/Geography/default.aspx,OK,Northeastern State University,,Department of Geography and Political Science,College of Liberal Arts,x,,,,,x,,,,,,,,,
"Agricultural Geography Biogeography Cartography Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Development Environmental Studies GIS GIS Certificate Program Historical Geography Political Ecology Political Geography Quantitative Methods Remote Sensing Transportation and Communication",https://geog.okstate.edu/,OK,Oklahoma State University,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,,x,,,,,,
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Energy Environmental Studies Gender Geomorphology GIS Certificate Program Historical Geography Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Recreation and Tourism Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.uco.edu/cla/departments/history-geography/degree-programs,OK,University of Central Oklahoma,,Department of History and Geography,College of Liberal Arts,x,,,,,x,,,,,,,,,
Applied Geography Biogeography Climatology/Meteorology Distance/Online Degree Program Economic Geography Energy Environmental Studies Geographic Education Geographic Thought GIS Certificate Program Political Geography Quantitative Methods Remote Sensing Urban Geography Water Resources,https://www.ou.edu/ags/geography/degree-programs,OK,University of Oklahoma,,Department of Geography and Enviromental Sustainability,College of Atmospheric and Geographic Sciences,x,,,,x,x,x,,x,,,x,x,"MS, PhD Geography and Environmental Sustainability",
"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Environmental Studies Gender Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Physical Geography/General Political Ecology Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.pdx.edu/geography/masters-degrees,OR,Portland State University,,Department of Geography,College of Liberal Arts and Sciences,x,x,,,x,x,x,x,,,,,,,
"Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Geography Geographic Education Geomorphology Hazards Physical Geography/General Water Resources",https://www.chemeketa.edu/programs-classes/program-finder/geography/,OR,Chemeketa Community College,Geography,,Social Science Division,,,x,,,,,,,,,,,,
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Distance/Online Degree Program Environmental Studies Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Quantitative Methods Remote Sensing Rural Geography Water Resources",https://ceoas.oregonstate.edu/geography-and-geospatial-science,OR,Oregon State University,Geography,,"College of Earth, Ocean and Atmospheric Sciences",,,,,x,,x,,x,,,,,,
"Agricultural Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Geographic Thought Geomorphology GIS Physical Geography/General Political Ecology Political Geography Quantitative Methods Recreation and Tourism Remote Sensing Urban Geography Water Resources",https://geography.uoregon.edu/graduate/,OR,University of Oregon,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,x,x,,,,,,
,https://www.iup.edu/georegionalplan/undergrad/geography/geography-gis-ba/,PA,Indiana University of Pennsylvania,,Department of Geography and Regional Planning,College of Humanities and Social Sciences,x,,,,,x,x,,,,x,,,BA Geography and Geographic Information Science,
Cartography Energy Environmental Studies GIS Physical Geography/General Planning (Regional/Urban) Political Geography Remote Sensing Urban Geography Water Resources,https://www.johnstown.pitt.edu/academics/majors-programs/social-sciences/geography,PA,University of Pittsburgh at Johnstown,,Department of Geography,Social Sciences Division,x,x,,,,x,,,,,,,,,
,https://www.ship.edu/academics/colleges/cas/programs/geo-ess/majors/,PA,Shippensburg University of Pennsylvania,,Department of Geography and Earth Science,College of Arts and Sciences,x,,,,x,,,,,,x,,,BS Geography-Geographic Information,
"Agricultural Geography
Applied Geography
Biogeography
Cartography
Climatology/Meteorology
Conservation, Land Use, Resource Management
Cultural Ecology
Cultural Geography
Distance/Online Degree Program
Economic Development
Economic Geography
Energy
Environmental Studies
Gender
Geographic Education
Geographic Thought
GIS
GIS Certificate Program
Hazards
Location Theory
Medical Geography
Physical Geography/General
Planning (Regional/Urban)
Political Ecology
Political Geography
Population Geography
Quantitative Methods
Regional Development
Remote Sensing
Rural Geography
Social Geography
Urban Geography
Water Resources",https://www.geog.psu.edu/,PA,Pennsylvania State University,,Department of Geography,College of Earth and Mineral Sciences,x,x,,,x,x,x,,x,,,,,,
Cartography Climatology/Meteorology Cultural Geography Economic Geography GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Geography Remote Sensing Transportation and Communication,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/geography/program-and-course-information/bachelor-of-arts-in-geography.html,PA,Kutztown University of Pennsylvania,,Department of Geography,College of Liberal Arts and Sciences,x,x,,,,x,,,,,,,,,
,https://www.wcupa.edu/business-PublicManagement/geographyPlanning/,PA,West Chester University,,Department of Geography and Planning,College of Business and Public Management,x,,,,x,,x,,,,,,,,
"Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Environmental Studies Gender GIS GIS Certificate Program Hazards Medical Geography Planning (Regional/Urban) Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",https://liberalarts.temple.edu/academics/departments-and-programs/geography-and-urban-studies,PA,Temple University,,Department of Geography and Urban Studies,College of Liberal Arts,x,,,,,x,,x,x,,x,,,BA in Geography and Urban Studies,
"Climatology/Meteorology Conservation, Land Use, Resource Management Environmental Studies Geomorphology GIS Hazards Medical Geography Physical Geography/General Planning (Regional/Urban) Population Geography Remote Sensing Urban Geography Water Resources",https://www1.villanova.edu/university/liberal-arts-sciences/programs/geography-environment.html,PA,Villanova University,,Department of Geography and the Environment,College of Liberal Arts and Sciences,x,,,,,x,,,,,,,,,
Biogeography Climatology/Meteorology Cultural Geography Economic Development Economic Geography Energy Environmental Studies Geographic Education Geomorphology GIS Hazards Historical Geography Political Ecology Political Geography Remote Sensing Social Geography Urban Geography Water Resources,https://sc.edu/study/colleges_schools/artsandsciences/geography/index.php,SC,University of South Carolina,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,x,x,,,,,,
Distance/Online Degree Program GIS GIS Certificate Program Physical Geography/General Political Geography Remote Sensing,https://www.sdstate.edu/geography-and-geospatial-sciences,SD,South Dakota State University,,Department of Geography and Geospatial Sciences,College of Natural Sciences,x,,,,x,x,x,,,,,,,,
Biogeography Cultural Geography GIS Physical Geography/General Social Geography Transportation and Communication Urban Geography,https://geography.utk.edu/,TN,"University of Tennessee, Knoxville",,Department of Geography,College of Arts and Sciences,x,x,,,,x,x,,x,,,,,,
Climatology/Meteorology Cultural Geography Economic Geography Environmental Studies Geomorphology GIS Physical Geography/General Remote Sensing Social Geography Urban Geography,https://www.depts.ttu.edu/geosciences/geog/index.php,TX,Texas Tech University,,Department of Geosciences,College of Arts and Sciences,,,,,,x,x,,,,,,,,
Applied Geography Cartography GIS GIS Certificate Program Quantitative Methods Remote Sensing Urban Geography,https://www.tarleton.edu/hsgg/geography.html,TX,Tarleton State University,,"Department of History, Sociology, Geography and GIS",College of Liberal and Fine Arts,x,,,,x,,,,,,x,,,BS Geography and Geographic Information Systems,
Cultural Geography Economic Geography Environmental Studies GIS Hazards Physical Geography/General Planning (Regional/Urban) Recreation and Tourism Urban Geography,https://addran.tcu.edu/geography/academics/majors-and-minors.php,TX,Texas Christian University,,Department of Geography,AddRan College of Liberal Arts,x,x,,,,x,,,,,,,,,
"Applied Geography Biogeography Conservation, Land Use, Resource Management Cultural Ecology Economic Development Economic Geography Energy Environmental Studies Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Medical Geography Physical Geography/General Political Geography Quantitative Methods Remote Sensing Social Geography Water Resources",https://geography.unt.edu/,TX,University of North Texas,,Department of Geography and the Environment,College of Liberal Arts and Social Sciences,x,,,,x,x,x,,,,,,,,
,https://www.dallascollege.edu/cd/credit/geography/bhc/pages/default.aspx,TX,Brookhaven College,Geography,,School of Law and Public Service,,,x,,,,,,,,,,,,
"Biogeography, Cartography, Conservation, Land Use, Resource Management, Cultural Geography, Distance/Online Degree Program, Energy, Environmental Studies, Geographic Education, Geomorphology, GIS, GIS Certificate Program, Historical Geography, Medical Geography, Physical Geography (General), Recreation and Tourism, Remote Sensing, Social Geography, Transportation and Communication, Urban Geography, Water Resources",https://www.shsu.edu/programs/bachelor-degree-in-geography/index.html,TX,Sam Houston State University,,Department of Environmental and Geosciences,College of Science and Engineering Technology,,,,,x,x,,,,,,,,,
Distance/Online Degree Program Environmental Studies Geographic Education GIS GIS Certificate Program Physical Geography/General Quantitative Methods Remote Sensing Urban Geography Water Resources,https://geography.tamu.edu/,TX,Texas A&M University,,Department of Geography,College of Geosciences,x,x,,,x,,x,,x,,,,,,
"Applied Geography Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Environmental Studies Gender Physical Geography/General",https://www.alamo.edu/nvc/academics/programs/social-sciences/geography/,TX,Northwest Vista College,Geography and Environmental Sustainability, ,Division of Social Sciences,,,x,x,,,,,,x,,,,AS Geography and Environmental Sustainability,
Cultural Geography Economic Geography Environmental Studies GIS Historical Geography Physical Geography/General Political Geography Social Geography Urban Geography,https://catalog.utsa.edu/undergraduate/liberalfinearts/politicalscienceandgeography/#degreestext,TX,University of Texas at San Antonio,,Department of Political Science and Geography,College of Liberal and Fine Arts,x,,,,,x,,,,,x,,,BA Geography and Environmental Sustainability,
,https://www.alamo.edu/nvc/academics/programs/social-sciences/geography/,TX,San Antonio College,,Department of Geography,Humanities and Social Sciences Division,x,,x,,,,,,,,,,,,
"Agricultural Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Development Environmental Studies Gender Geographic Thought Geomorphology GIS Hazards Historical Geography Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Transportation and Communication Urban Geography Water Resources",https://liberalarts.utexas.edu/geography/,TX,University of Texas at Austin,,Department of Geography and the Environment,College of Liberal Arts,x,,,,,x,,x,,,,,,,
,"https://www.uhcl.edu/human-sciences-humanities/departments/social-cultural-sciences/geography/#:~:text=Geography%20courses%20at%20the%20University,their%20cultural%20and%20natural%20environments.",TX,"University of Houston, Clear Lake",,Department of Social and Cultural Sciences,College of Human Sciences and Humanities,,,,,x,,,,,,,,,,
,https://learning.hccs.edu/programs/geography,TX,Houston Community College,Geography,,Social and Behavioral Sciences Area of Study,,,x,,,,,,,,,,,,
Biogeography Economic Geography Environmental Studies Geomorphology GIS GIS Certificate Program Hazards Medical Geography Physical Geography/General Population Geography Quantitative Methods Remote Sensing Urban Geography,https://geog.utah.edu/,UT,University of Utah,,Department of Geography,College of Social and Behavioral Science,x,x,,,x,x,x,,x,,,,,,
"Applied Geography Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Distance/Online Degree Program Environmental Studies GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Recreation and Tourism Remote Sensing",,UT,Utah State University ,,Department of Environment and Society,S.J. and Jessie E. Quinney College of Natural Resources, ,,,,x,,x,,,,,,,,
,http://www.middlebury.edu/academics/geog,VT,Middlebury College,,Department of Geography,,x,x,,,,x,,,,,,,,,
"Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Environmental Studies Gender Geomorphology GIS Physical Geography/General Planning (Regional/Urban) Political Ecology Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.uvm.edu/cas/geography,VT,University of Vermont,,Department of Geography,College of Arts and Sciences,x,x,,,,x,,,,,,,,,
,https://science.gmu.edu/academics/departments-units/geography-geoinformation-science,VA,George Mason University,,Department of Geography and Geoinformation Science,College of Science,x,,,,x,x,,,,,,,,,
,https://www.jmu.edu/gs/program/concentrations.shtml,VA,James Madison University,,Department of Integrated Science and Technology,College of Integrated Science and Engineering,,,,,x,x,,,,,,,,,
,https://cas.umw.edu/geography/programs/,VA,University of Mary Washington,,Department of Geography,College of Arts and Sciences,x,x,,,,x,,,,,,,,,
"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Environmental Studies Gender Geomorphology GIS GIS Certificate Program Hazards Medical Geography Physical Geography/General Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://geography.vt.edu/,VA,Virginia Tech,,Department of Geography,College of Natural Resources and Environment,x,x,,,,x,x,,,,,,,,
"Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Geography GIS Physical Geography/General Political Ecology Political Geography Remote Sensing",https://geography.richmond.edu/,VA,University of Richmond,,Department of Geography and the Environment,School of Arts and Sciences,x,,,,,x,,,,,,,,,
"Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Environmental Studies Geographic Education GIS GIS Certificate Program Hazards Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Remote Sensing Urban Geography",https://www.odu.edu/pols-geog/geography.html.html,VA,Old Dominion University,,Department of Political Science and Geography,College of Arts and Letters,x,,,,,x,,,,,,,,,
,https://geography.washington.edu/,WA,University of Washington,,Department of Geography,College of Arts and Sciences,x,x,,,,x,,x,x,,,,,,
,https://www.marshall.edu/geography/,WV,Marshall University,,Department of Geography,College of Liberal Arts,x,x,,,x,x,x,x,,,,,,,
,https://www.geo.wvu.edu/home,WV,West Virginia University,,Department of Geology and Geography,Eberly College of Arts and Sciences,x,,,,,x,,x,x,,,,,,
"Applied Geography, Cartography, Climatology/Meteorology, Cultural Geography, Economic Geography, GIS, GIS Certificate Program, Historical Geography, Physical Geography (General), Political Geography, Quantitative Methods, Remote Sensing, Urban Geography",https://www.uwrf.edu/programs/geography-and-geographic-information-science,WI,"University of Wisconsin, River Falls",,"Department of Politics, International Studies and Geography",College of Arts and Sciences,x,,,,x,x,,,,,,,,,
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Recreation and Tourism Remote Sensing Rural Geography Urban Geography Water Resources",https://www.uwec.edu/academics/college-arts-sciences/departments-programs/geography-anthropology/,WI,"University of Wisconsin, Eau Claire",,Department of Geography and Anthropology,College of Arts and Sciences,x,,,,x,x ,,,,,,,,,
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Geographic Thought Geomorphology GIS Hazards Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.uwlax.edu/geography-and-earth-science/undergraduate-majorsminors/,WI,"University of Wisconsin, La Crosse",,Department of Geography and Earth Science,College of Science and Health,x,,,,x,x ,,,,,,,,,
,https://geography.wisc.edu/,WI,"University of Wisconsin, Madison",,Department of Geography,College of Letters and Science,x,x,,,x,x ,x,,x,,,,,,
Cartography Climatology/Meteorology Cultural Ecology Economic Geography Environmental Studies GIS GIS Certificate Program Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Population Geography Remote Sensing Urban Geography Water Resources,https://www.uww.edu/cls/departments/geography-geology-env-sci,WI,"University of Wisconsin, Whitewater",,"Department of Geography, Geology and Environmental Science",College of Letters and Sciences,x,,,,x,x ,,,,,,,,,
Cultural Ecology Environmental Studies Gender Geographic Education GIS GIS Certificate Program Historical Geography Political Ecology Political Geography Population Geography Urban Geography Water Resources,https://uwosh.edu/bulletins/undergraduate-19-21/departments-and-majors/geography-urban-planning/,WI,"University of Wisconsin, Oshkosh",,Department of Geography,College of Letters and Science,x,x,,,x,x ,,,,,,,,,
Biogeography Climatology/Meteorology Economic Geography Environmental Studies GIS GIS Certificate Program Political Ecology Remote Sensing Urban Geography,https://uwm.edu/geography/,WI,"University of Wisconsin, Milwaukee",,Department of Geography,College of Letters and Science,x,x,,,x,x ,x,x,x,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,keeping combined names that include geography or geographic. not geospatial ,,,,,,,,,,